,activity_rate,mean_norm_activation,cv,top_smiles
35,1e-04,0.0,0.0,[]
36,0.0071,0.5003226,0.513910174369812,"['CCC1CCCCC1Oc1nc2sccn2c1CO', 'N#CC1CCCC1NCc1ccc(O)c(Cl)c1', 'CC1CCCCC1NC(=O)Nc1cc(S(C)(=O)=O)ccc1Cl', 'CCC1CCCCC1NC(=O)NCCc1ccccn1', 'CC1CCCCN1C(=O)c1cc2cc(F)ccc2[nH]1', 'CC1CCCCC1NC1=NS(=O)(=O)c2ccccc2N1', 'CC1CCCCC1NC(=O)CSc1nc(N)c(C#N)cc1C#N', 'CC1COCCN1CC1=Cc2cc(Cl)ccc2OC1', 'CC1CCCCC1NC(=O)NCc1cccc(CN2CCCC2=O)c1', 'CCC1CCCCN1C(=O)CSc1ccc(N)nc1']"
37,0.0006,0.4257889,0.7348847389221191,"['CC1(C)CC(=O)c2cnc(NCc3ccco3)nc2C1', 'CC1(C)CC(=O)c2cc(Cc3ccco3)c(=O)[nH]c2C1', 'CC1(C)CC(=O)c2cnc3nc(C4CCCCC4)nn3c2C1', 'CC1(C)CNC(=O)c2nc(CCc3ccco3)[nH]c2C1', 'CC1(NC(=O)C2CC(=O)N(Cc3ccccc3)C2)Cc2ccccc2C1', 'CC1(NC(=O)c2cccs2)Cc2ccccc2C1']"
38,0.0086,0.27554372,0.7006688117980957,"['COc1ncc(C(F)(F)F)cc1Br', 'COc1cc(OC)nc(NCc2cccc(F)c2)n1', 'COc1cc(NCC2CCCO2)nc(C2CCCO2)n1', 'COc1cc(OC)nc(NC(=O)c2cccs2)n1', 'COc1ccc(C(=O)N(C)CCOCC2CC2)nn1', 'COc1c[nH]c(CSc2ccc(F)cc2)cc1=O', 'COCc1cc(CN(C)C(=O)C2CCCCO2)n[nH]1', 'COc1ccnc(Sc2nnnn2C2CC2)n1', 'COc1ccc(NC(=O)c2cc(Br)c[nH]2)cn1', 'COc1ccnc(NCCc2ccccc2C(F)(F)F)n1']"
39,0.029,0.25683188,0.684859573841095,"['COC(=O)c1c(O)cc(O)cc1CCc1ccc(O)cc1', 'CCCOC(=O)c1cc(-c2c(O)cc(O)cc2O)nn1CCO', 'O=C(Nc1cccc(O)c1)c1cccc(C(=O)Nc2cccc(O)c2)c1', 'COCC(C)c1nc(-c2ccc(O)cc2O)cs1', 'C#CCC(N)c1nc(-c2ccc(O)cc2O)cs1', 'CC(Cc1ccc(O)cc1)NC(=O)NCC(=O)Nc1ccccc1', 'CC(c1ccc(O)cc1)N(C)C(=O)Nc1ccccc1', 'Cn1cnnc1Sc1ccc(NC(=O)Cc2ccc(O)cc2)cc1', 'COc1cc2c(c(O)c1OC)c(=O)c1cccc(O)c1n2C', 'CC(Cc1ccc(O)cc1)NC(=O)NCC(C)N1CCOCC1']"
40,0.0681,0.4442743,0.44529199600219727,"['COc1c[nH]c(CSc2ccc(F)cc2)cc1=O', 'CCCc1[nH]nc(-c2ccc(F)cc2)c1NC(C)=O', 'COCCCNC1=NS(=O)(=O)c2ccccc21', 'Cc1ccn(CCSc2ccccc2)c(=O)c1C#N', 'CCc1n[nH]c(SCc2cccc(C(=O)N(C)C)c2)n1', 'CCCc1[nH]nc(C(=O)N(CCCO)C(C)C)c1N', 'Cn1ccn(-c2cc(O)c(Cl)cc2Cl)c1=O', 'O=C1CNc2cccc(Cl)c2N1CCc1ccccc1', 'CC1CCN(C(=O)CN2CCOCC2C2CC2)CC1', 'OC1CCN(Cc2ccco2)C1Cc1ccccc1']"
41,1e-04,0.0,0.0,[]
42,0.0023,0.2611792,0.9381620287895203,"['CC(CCCO)NC(=O)Nc1cccc(Cn2cccn2)c1', 'CCC(CCO)NC(=O)Nc1cccc(NC(C)=O)c1C', 'CCC(CCO)NC(=O)Nc1cccc(C(C)=O)c1', 'CCC1(CC)Oc2ccc(C(C)=O)cc2N(CCCC#N)C1=O', 'O=C(NCCO)C1CCCN1C(=O)C12CC3CC(CC(C3)C1)C2', 'O=C(NCCO)Nc1ccc(COCC(F)(F)F)cc1', 'Cn1c(CO)nnc1SCC(=O)NCC(=O)c1ccccc1', 'CCOC(CC)C(=O)Nc1ccc(C(=O)Nc2cccnc2)cc1', 'O=C(NCCO)c1cnn(-c2ccc(Cl)cc2)c1', 'O=C(NCCO)c1cc(Cl)c2c(c1)OCCO2']"
43,1e-04,0.0,0.0,[]
44,1e-04,0.0,0.0,[]
45,0.0136,0.56702936,0.4290129542350769,"['CC(CNC(=O)NC(CO)C(C)C)c1ccccc1', 'CC(Cc1cccs1)NC(=O)c1cncc(Br)c1', 'CC(CN1CCCC1=O)Nc1ncnc2ccsc12', 'CC(CNC(=O)Cn1cnnn1)c1cccs1', 'CC(CCc1cccn1C)NC(=O)Cc1cccc(F)c1F', 'CC(Cc1ccsc1)NC(=O)NCC1CCCO1', 'CC(Cc1cccs1)NC(=O)c1cccc(S(C)(=O)=O)c1', 'CC(CNC(=O)C1CC1c1ccco1)Cn1cccn1', 'CC(Cc1ccsc1)NS(=O)(=O)c1cn[nH]c1', 'CC(Cn1cccn1)OC(=O)C(C)N1CCc2ccccc2C1']"
46,1e-04,0.0,0.0,[]
47,1e-04,0.0,0.0,[]
48,1e-04,0.0,0.0,[]
49,1e-04,0.0,0.0,[]
50,0.0003,0.3804197,1.064125657081604,"['Cn1cccc1C=c1sc2nc3ccccc3n2c1=O', 'Cc1nc2sc(=Cc3cccc(Cl)c3Cl)c(=O)n2n1', 'Cc1nc2sc(=Cc3ccc(Br)cc3)c(=O)n2n1']"
51,0.042,0.6753774,0.16800135374069214,"['CC1(OC(=O)CCCNC(=O)C2CC2)CCCC1', 'C#CCOC(=O)CCCC(=O)Nc1ccccc1C', 'C#CCNC(=O)c1cccnc1SC1CCCC1', 'CN(C)C(=O)c1cc(NCc2nncn2C)ccn1', 'CCN(CC(=O)c1sccc1Br)CC(F)(F)F', 'CN(C)C(=O)c1cccnc1Oc1ccc(Br)cc1', 'C=CCCC(=O)Nc1ccc(Cc2ccncc2)cc1', 'CCCN1C(=O)c2ccccc2NC1c1ccco1', 'CC=CCC(=O)N1CC(F)CC1CNC(=O)CC1CCCC1', 'C=CCNC(=O)CCc1ccc(Br)cc1']"
52,1e-04,0.0,0.0,[]
53,1e-04,0.0,0.0,[]
54,1e-04,0.0,0.0,[]
55,1e-04,0.0,0.0,[]
56,1e-04,0.0,0.0,[]
57,1e-04,0.0,0.0,[]
58,1e-04,0.0,0.0,[]
59,0.0591,0.6826684,0.1902240365743637,"['Cc1[nH]c(NC(=O)CSc2nccn2C)c(C#N)c1C', 'CCCS(=O)(=O)NCc1cccc2cccnc12', 'Nc1ccc(S(=O)Nc2cccc(Cl)c2)cc1', 'CCOC(C)C(=O)Oc1ccc(C)cc1Br', 'Nc1cc(NC(=O)CC2CC3CCC2C3)ccc1Cl', 'CC1(C)CC(=O)c2cnc3nc(C4CCCCC4)nn3c2C1', 'CCC(CC)C(=O)NCc1ncc(C)c(OC)c1C', 'Cc1ccn2c(=O)cc(Cn3cnc4ccccc4c3=O)nc2c1', 'Cc1ccc2c(=O)n(CCc3nncn3C)cnc2c1C', 'CC1(C)CC(=O)c2cc(Cc3ccco3)c(=O)[nH]c2C1']"
60,1e-04,0.0,0.0,[]
61,0.0034,0.40332273,0.6154457330703735,"['O=C(Nc1cnc2n1CCCC2)c1cccc2cnccc12', 'O=C(Nc1cnc2n1CCCC2)c1ccc2ncsc2c1', 'O=C(c1cc2c(s1)CCC2)N1CCC2(CC1)OCCO2', 'O=C(c1ccc2c(c1)CCC2)N1CCC(CO)CC1', 'O=C(c1cc2c(s1)CCCC2)N1CCC2(CC1)OCCO2', 'O=C(Nc1cccc2c1CCCC2)NC(CCO)c1ccccc1', 'O=C(Nc1nnc2n1CCCS2)c1ccccc1F', 'O=C(Nc1nnc2n1CCCS2)c1ccccc1Br', 'O=C(c1n[nH]c2c1CCC2)N1CCCCC1c1ccc(F)cc1', 'O=C(NCc1nnc2n1CCC2)C1CC1c1ccco1']"
62,1e-04,0.0,0.0,[]
63,0.0117,0.27997687,0.7369833588600159,"['N#Cc1nnn(CCO)c1CCCOc1ccccc1', 'Cc1cccc(C(N)=O)c1NCc1ccc(F)cc1', 'N#Cc1nnn(CC(O)CO)c1C=Cc1ccc(Cl)cc1', 'Cn1nc(C(F)(F)F)c(C#N)c1Oc1ccccc1', 'CCCc1nn(C)c(N)c1-c1ccc2c(c1)OCO2', 'Cc1noc(C(C)C)c1C(=O)OCc1cnn(C)c1', 'Cc1[nH]c(=O)[nH]c(=O)c1CCC(=O)Nc1cccc(F)c1', 'COc1ncnc(OC)c1CNc1ccccc1C', 'Cc1onc(C#N)c1C(=O)Nc1ccccc1C(F)(F)F', 'Cc1nn(C(C)(C)C)c(=O)n1Cc1csc(C2CC2)n1']"
64,1e-04,0.0,0.0,[]
65,1e-04,0.0,0.0,[]
66,1e-04,0.0,0.0,[]
67,1e-04,0.0,0.0,[]
